충전소명,충전소위치,충전기 운영기관,급속/완속,이용대수,lon,lat
(구)거진수산센터 주차장,강원도 고성군 거진읍 거진리 22-93,환경부(한국자동차환경협회),급속,2,128.4599201,38.4489983
DMZ박물관,강원도 고성군 현내면 통일전망대로 369,환경부(한국자동차환경협회),급속,1,128.3827902,38.5757652
SK 척산주유소,강원도 속초시 노학동 298-2,환경부(한국자동차환경협회),급속,1,128.5593834,38.1913812
거진시장 주차장,강원도 고성군 거진읍 거진리 241-6,환경부(한국자동차환경협회),급속,1,128.4542464,38.4485519
거진읍공설운동장,강원도 고성군 거진읍 거진리 480-1,환경부(한국자동차환경협회),급속,1,128.4477163,38.4429913
고성군청 후면주차장,강원도 고성군 간성읍 하리 12 뒤편 주차장 우측,환경부(한국자동차환경협회),급속,1,128.4676925,38.3804874
국군복지단 청간정콘도,강원도 고성군 토성면 중앙로 642-22,환경부(한국자동차환경협회),급속,3,128.5740623,38.240557
국립산악박물관,강원도 속초시 미시령로 3054,환경부(한국자동차환경협회),급속,3,128.5409375,38.2024775
국회고성연수원,강원도 고성군 토성면 성대로 314-28,환경부(한국자동차환경협회),급속,3,128.5073713,38.2651991
노학동 주민센터,강원도 속초시 동해대로 4245,환경부(한국자동차환경협회),급속,1,128.5762551,38.1970568
대포 제3농공단지 주차장,강원도 속초시 대포동 976,환경부(한국자동차환경협회),급속,2,128.5975305,38.1754264
대포1 공영주차장,강원도 속초시 대포동 993-1,환경부(한국자동차환경협회),급속,2,128.6089183,38.1750976
더케이설악산가족호텔,강원도 속초시 설악산로470-7,환경부(한국자동차환경협회),급속,1,128.554856,38.1664188
상리주차장,강원도 고성군 간성읍 상리 188-1,환경부(한국자동차환경협회),급속,1,128.465316,38.3811275
설악항 공영주차장,강원도 속초시 동해대로 3664,환경부(한국자동차환경협회),급속,2,128.608488,38.163144
속초관광수산시장 대형주차장,강원도 속초시 금호동 488-408,환경부(한국자동차환경협회),급속,1,128.5879877,38.2050983
속초시립박물관," 강원도 속초시 신흥2길 16, 입구 매표소앞 ",환경부(한국자동차환경협회),급속,3,128.5384595,38.2008761
속초시청 길건너 공영주차장,강원도 속초시 중앙동 468-12,환경부(한국자동차환경협회),급속,1,128.5930353,38.2066046
속초양양교육지원청 주차장,강원도 속초시 미시령로 3336,환경부(한국자동차환경협회),급속,2,128.5722044,38.2046357
엑스포공원 상징탑 주변 동쪽 주차장,강원도 속초시 조양동 1544-3,환경부(한국자동차환경협회),급속,3,128.5857882,38.1913606
죽왕수협 수산물직매장 앞 주차장,강원도 고성군 죽왕면 심층수길 14,환경부(한국자동차환경협회),급속,2,128.5266746,38.325613
현내면행정복지센터,강원도 고성군 현내면 한나루로 67,환경부(한국자동차환경협회),급속,1,128.4272842,38.4942313
베니키아호텔 산과바다 속초,강원도 속초시 동해대로 3707,제주전기자동차서비스,완속,2,128.6074759,38.1676991
베니키아호텔 산과바다대포항,강원도 속초시 동해대로 3691,제주전기자동차서비스,완속,2,128.6080523,38.1656509
속초오션호텔,강원도 속초시 대포항 희망길 106(대포동 939),제주전기자동차서비스,완속,2,128.5919317,38.2070876
수미산모텔,강원도 속초시 관광로 451,제주전기자동차서비스,완속,2,128.5348541,38.1996583
고성소방서,강원도 고성군 간성읍 수성로 37-11(170 고성소방서),한국전력,완속,1,128.4738842,38.3769128
고성지사,강원도 고성군 간성읍 수성로 2,한국전력,완속,1,128.4734705,38.378419
국민체육센터,강원도 고성군 거진읍 송포리 634-1,한국전력,완속,1,128.4528131,38.435512
금호대명(서울대명2차) 아파트,강원도 속초시 금호동 미시령로 3429,한국전력,완속,2,128.5799861,38.209715
속초연수원,강원도 속초시 온천로 87(노학동 573-4),한국전력,완속,1,128.5510316,38.1904747
속초지사,강원도 속초시 장안로 11,한국전력,완속,1,128.5908413,38.2120394
속초해양경찰서,강원도 속초시 동명항길 35주차장,한국전력,완속,1,128.5975576,38.2122757
이마트 속초점,강원도 속초시 설악금강대교로 12,한국전력,완속,1,128.5958086,38.1910219
죽왕면사무소,강원도 고성군 죽왕면 오호리 170-3,한국전력,완속,1,128.5257167,38.3291671
속초농협하나로마트 엑스포점,강원도 속초시 동해대로 4202(교동 673-1),한국전기차충전서비스,완속,2,128.5789983,38.1945657
손두부마을,강원도 속초시 설악산로 336,한국전기차충전서비스,완속,2,128.5708735,38.1628553
호텔파티오,강원도 고성군 토성면 동해대로 5180지상주차장,한국전기차충전서비스,완속,2,128.5514832,38.2699914
(주)대명리조트설악지점,강원도 고성군 토성면 미시령옛길 1153C동 1층 지상주차장 2면,차지비,완속,2,128.4926312,38.2112042
고성군 고성군청,강원도 고성군 간성읍 고성중앙길 9 건물 뒷편 차량관리실 앞,차지비,완속,2,128.4675453,38.3807312
고성군 델피노골프앤리조트,강원도 고성군 토성면 미시령옛길 1153,차지비,완속,5,128.4926312,38.2112042
속초동부아파트," 강원도 속초시 미시령로3359번길 15 (교동, 동부아파트) 101동~108동 ",차지비,완속,3,128.5729622,38.2080827
속초마레몬스호텔,강원도 속초시 동해대로 3705호텔 후문 출입구 옆 지상주차장,차지비,완속,2,128.6062367,38.1668946
속초시 등대비치모텔,강원도 속초시 영금정로6길 3주차장,차지비,완속,2,128.6001537,38.212758
속초시 설악산국립공원사무소,강원도 속초시 설악산로 833사무소앞 주차장,차지비,완속,1,128.5171899,38.1671043
속초시 속초중앙시장공용주차장,강원도 속초시 수복로 1911층주차장(금호동 488-408),차지비,완속,2,128.5916861,38.2106116
속초의료원," 강원도 속초시 영랑호반길 3 (영랑동, 속초의료원)(591-10 (속초의료원)) ",차지비,완속,1,128.5887079,38.2165369
연호리조트,강원도 속초시 싸리재길 247-20지상주차장 지하주차장 출입구 상부,차지비,완속,2,128.5583757,38.1835026
이마트 속초점(지상4층 주차장)," 강원도 속초시 설악금강대교로12, 지상 4층 옥상 주차장(속초시 청호동) ",에스트래픽,완속,18,128.5958086,38.1910219
해광자동차정비,강원도 고성군 죽왕면 선유담길 68해광자동차정비 실외주차장 건물외벽,에스트래픽,완속,1,128.5038276,38.3592286
㈜에이치제이매그놀리아용평파인리즈골프앤리조트,강원도 고성군 토성면 잼버리동로 267파인리즈컨트리클럽녬동 주차장 기둥 2대) 컨트리클럽 분수대앞 주차장 2대,지커넥트,완속,4,128.5413785,38.2450549
대포동주민센터,강원도 속초시 설악산로 466 (도문동)대포동주민센터,에버온,완속,1,128.5571664,38.165597
속초시 교동주민센터,강원도 속초시 청학로 51 (청학동)교동주민센터,에버온,완속,1,128.5826236,38.2025213
영랑동주민센터,강원도 속초시 중앙로 403 (장사동)영랑동주민센터,에버온,완속,1,128.58824,38.2236749
조양동주민센터,강원도 속초시 선사로1길 16(조양동)조양동주민센터,에버온,완속,1,128.5909294,38.1876318
청호동주민센터,강원도 속초시 청호로 93(청호동)청호동주민센터,에버온,완속,1,128.5954657,38.1979881
고성 해양심층수 산업지원센터,강원도 고성군 죽왕면 송지호로 15-30고성해양심층수 산업지원센터,대영채비,완속,1,128.5203706,38.3285062
로데오 제2주차장,강원도 속초시 청학동 482-48,대영채비,완속,1,128.5875542,38.200875
속초시청공영주차장,강원도 속초시 중앙동 468-12,대영채비,완속,1,128.5930353,38.2066046
속초해변주차장,강원도 속초시 조양동 1449-3,대영채비,완속,1,128.6021562,38.1910796
순두부마을,강원도 속초시 설악산로 336 (도문동)순두부마을 출구쪽 주차장,대영채비,완속,1,128.5708735,38.1628553
종합운동장보조구장,강원도 속초시 노학동 산272-2,대영채비,완속,1,128.5381988,38.1918316
한국전기안전공사 강원북부지사,강원도 속초시 동해대로 4051한국전기안전공사 강원북부지사,대영채비,완속,1,128.5915824,38.1893314
속초ES아뜨리움아파트,강원도 속초시 조양로 40(E.S 아뜨리움),클린일렉스,완속,4,128.5971163,38.1876006
속초조양2주공아파트,강원도 속초시 온정로 24(1215-1 조양2주공아파트),클린일렉스,완속,4,128.5937377,38.1862392
청초대우아파트,강원도 속초시 동해대로 4271(961 청초대우아파트),클린일렉스,완속,4,128.5734706,38.1972056
고성 금화정막국수,강원도 고성군 토성면 화원길 42-21구내주차장,이카플러그,완속,2,128.5433267,38.2857601
고성 나폴리커피하우스,강원도 고성군 토성면 교암길 24구내주차장,이카플러그,완속,2,128.5478327,38.2875861
고성 동광개발(설악썬밸리cc),강원도 고성군 죽왕면 순포로 188구내주차장,이카플러그,완속,6,128.5111783,38.3159514
고성 동광개발(설악썬밸리리조트),강원도 고성군 죽왕면 순포로 188구내주차장,이카플러그,완속,5,128.5111783,38.3159514
롯데리조트속초,강원도 속초시 대포항길 186지하1층주차장,이카플러그,완속,3,128.6110188,38.1806186
롯데리조트속초(급속/100kW),강원도 속초시 대포항길 186롯데리조트속초 지하3층 주차장①,이카플러그,완속,1,128.6110188,38.1806186
르네블루바이워커힐,강원도 고성군 죽왕면 심층수길 96구내주차장(오호리 산2-22),이카플러그,완속,2,128.5272122,38.3319443
속초 다비다의집,강원도 속초시 신흥2길 32-3구내주차장,이카플러그,완속,2,128.5362447,38.202463
속초 뮤토로스팅플랜트2,강원도 속초시 이목로 21-3구내주차장,이카플러그,완속,2,128.5597715,38.1943526
미라지모텔,강원도 속초시 동해대로 4164주차장,차지인,완속,2,128.5801472,38.1911724
오션투유리조트,강원도 고성군 죽왕면 삼포해변길 9(삼포리 243-13),매니지온,완속,4,128.5310041,38.3170796
삼환아파트-101동 지하주차장,강원도 속초시 밤골3길 39101동 지하주차장,타디스테크놀로지,완속,6,128.5663356,38.2031596
강원 속초시 중앙로 92-1 (저압수용가),강원도 속초시 중앙로 92-1강원 속초시 중앙로 92-1 (저압수용가)(청학동 482-76),스타코프,완속,1,128.5862232,38.2014853
고성부부횟집,강원도 고성군 죽왕면 가진해변길 88,삼성EVC,완속,2,128.5081738,38.3704176
강원고성 메이플풀빌라,강원도 고성군 토성면 사진용촌길 129-1/ 야외주차장 전주 앞(용촌리 363-8),이엔,완속,1,128.575101,38.2273979
강원고성 메이플풀타워,강원도 고성군 토성면 사진용촌1길 10-10/ 건물 맞은편 주차공터(용촌리 363-13),이엔,완속,1,128.5753493,38.2270183
속초 모드니에펜션,강원도 속초시 해오름로 77-20/ 건물 좌측 주차공간(667-8 모드니에펜션),이엔,완속,1,128.6069542,38.181847
주식회사미봉,강원도 고성군 현내면 금강산로 416,씨어스,완속,2,128.4202014,38.5103114
