link_id,도로등급,링크 길이,도로명,시도명,시군구명,읍면동,평일주말,혼잡빈도강도
69410276801,107,0.017,,강원도,고성군,간성읍,weekday,0 
69410090102,107,0.023,건봉사로,강원도,고성군,간성읍,weekday,0 
69410089902,107,0.025,건봉사로,강원도,고성군,간성읍,weekday,0 
69410089702,107,0.033,건봉사로,강원도,고성군,간성읍,weekday,0 
69410320801,107,0.175,,강원도,고성군,간성읍,weekday,0 
69410255201,107,0.18,교촌길,강원도,고성군,간성읍,weekday,0 
69410173401,107,0.219,교촌길,강원도,고성군,간성읍,weekday,0 
69410386801,107,0.316,,강원도,고성군,간성읍,weekday,0 
69410352401,107,0.999,꽃대마을길,강원도,고성군,간성읍,weekday,0 
69410086201,107,1.072,교촌길,강원도,고성군,간성읍,weekday,0 
68380005701,107,1.536,흘리길,강원도,고성군,간성읍,weekday,0 
69410137402,107,1.741,팔음뒷길,강원도,고성군,간성읍,weekday,0 
69410119801,107,1.897,탑동길,강원도,고성군,간성읍,weekday,0 
69410137601,107,2.771,건봉사로,강원도,고성군,간성읍,weekday,0 
69410137602,107,2.771,건봉사로,강원도,고성군,간성읍,weekday,0 
69410084901,107,0.015,진부령로,강원도,고성군,거진읍,weekday,0 
69420121101,107,0.019,건봉사로,강원도,고성군,거진읍,weekday,0 
69420121102,107,0.019,건봉사로,강원도,고성군,거진읍,weekday,0 
69420094301,107,0.02,건봉사로,강원도,고성군,거진읍,weekday,0 
69420094302,107,0.02,건봉사로,강원도,고성군,거진읍,weekday,0 
69420271301,107,0.021,봉정로,강원도,고성군,거진읍,weekday,0 
69420271302,107,0.021,봉정로,강원도,고성군,거진읍,weekday,0 
69410138301,107,0.039,팔음뒷길,강원도,고성군,거진읍,weekday,0 
69410138302,107,0.039,팔음뒷길,강원도,고성군,거진읍,weekday,0 
69410190401,107,0.042,진부령로,강원도,고성군,거진읍,weekday,0 
69410258401,107,0.058,진부령로,강원도,고성군,거진읍,weekday,0 
69410415402,107,0.068,건봉사로,강원도,고성군,거진읍,weekday,0 
69420198401,107,0.086,건봉사로,강원도,고성군,거진읍,weekday,0 
69420198402,107,0.086,건봉사로,강원도,고성군,거진읍,weekday,0 
69410192801,107,0.113,진부령로,강원도,고성군,거진읍,weekday,0 
69410084602,107,0.143,진부령로,강원도,고성군,거진읍,weekday,0 
69410415201,107,0.315,건봉사로,강원도,고성군,거진읍,weekday,0 
69420120901,107,0.761,건봉사로,강원도,고성군,거진읍,weekday,0 
69420120902,107,0.761,건봉사로,강원도,고성군,거진읍,weekday,0 
69420128401,107,1.293,백두대간로,강원도,고성군,거진읍,weekday,0 
69420112202,107,1.37,건봉사로,강원도,고성군,거진읍,weekday,0 
69420087402,107,2.368,송용길,강원도,고성군,거진읍,weekday,0 
69410110502,107,2.882,남강로,강원도,고성군,거진읍,weekday,0 
69410109901,107,3.382,남강로,강원도,고성군,거진읍,weekday,0 
69420077901,107,4.082,백두대간로,강원도,고성군,거진읍,weekday,0 
69410079101,107,0.04,동해대로,강원도,고성군,죽왕면,weekday,0 
68480010001,107,0.066,구성길,강원도,고성군,죽왕면,weekday,0 
68480022601,107,0.605,송지호로,강원도,고성군,죽왕면,weekday,0 
68480022602,107,0.605,송지호로,강원도,고성군,죽왕면,weekday,0 
68580245401,107,0.655,삼포길,강원도,고성군,죽왕면,weekday,0 
68580245402,107,0.655,삼포길,강원도,고성군,죽왕면,weekday,0 
68480025601,107,0.834,구성길,강원도,고성군,죽왕면,weekday,0 
68480022401,107,0.962,오탑길,강원도,고성군,죽왕면,weekday,0 
68480013202,107,1.157,구둔길,강원도,고성군,죽왕면,weekday,0 
