,LINK ID,ITS LINK ID,도로등급,연장(km),도로명,권역,시간적범위,평일주말,혼잡빈도강도,혼잡시간강도
0,1057026,"255,000,050,025,500,000,000,000,000,000",일반국도,2.378,동해대로,강원도  속초시,전일,평일,99,99
1,1057027,"255,000,060,025,500,000,000,000,000,000",일반국도,2.378,동해대로,강원도  속초시,전일,평일,98,99
2,1057028,"255,000,720,025,500,000,000,000,000,000",일반국도,0.679,동해대로,강원도  속초시,전일,평일,99,99
3,1057029,"255,000,710,025,500,000,000,000,000,000",일반국도,0.679,동해대로,강원도  속초시,전일,평일,99,99
4,1057030,2550007500,일반국도,0.006,동해대로,강원도  속초시,전일,평일,99,99
5,1057031,2550007600,일반국도,0.006,동해대로,강원도  속초시,전일,평일,99,99
6,1057032,0,시군도,0.049,청학로,강원도  속초시,전일,평일,91,99
7,1057033,0,시군도,0.604,번영로,강원도  속초시,전일,평일,28,53
8,1057034,0,시군도,0.82,중앙로,강원도  속초시,전일,평일,50,73
9,1057035,0,시군도,0.343,중앙로,강원도  속초시,전일,평일,58,77
10,1057036,0,시군도,0.368,중앙로,강원도  속초시,전일,평일,36,66
11,1057037,"25,500,053,002,550,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,0.421,동해대로,강원도  속초시,전일,평일,99,99
12,1057038,"25,500,054,002,550,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,0.421,동해대로,강원도  속초시,전일,평일,99,99
13,1057039,"2,550,009,700,255,000,000,000,000,000,000,000,000,000",국가지원지방도,0.483,번영로,강원도  속초시,전일,평일,99,99
14,1057040,"2,550,009,800,255,000,000,000,000,000,000,000,000,000",국가지원지방도,0.483,번영로,강원도  속초시,전일,평일,99,99
15,1057041,"255,000,170,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,1.683,동해대로,강원도  속초시,전일,평일,99,99
16,1057042,"255,000,180,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,1.683,동해대로,강원도  속초시,전일,평일,99,99
17,1057043,2550010900,국가지원지방도,0.236,장안로,강원도  속초시,전일,평일,99,99
18,1057044,0,시군도,1.005,번영로,강원도  속초시,전일,평일,16,37
19,1057045,0,시군도,0.067,설악금강대교로,강원도  속초시,전일,평일,76,93
125,1057046,0,시군도,2.448,중앙로,강원도  고성군,전일,평일,6,18
126,1057047,0,시군도,2.448,중앙로,강원도  고성군,전일,평일,10,28
20,1057048,0,시군도,0.518,중앙로,강원도  속초시,전일,평일,21,48
21,1057050,2550008602,국가지원지방도,0.024,미시령로,강원도  속초시,전일,평일,90,94
22,1057051,0,국가지원지방도,0.035,동해대로,강원도  속초시,전일,평일,91,96
