,LINK ID,ITS LINK ID,도로등급,연장(km),도로명,권역,혼잡빈도강도,혼잡시간강도,혼잡기대강도
0,1057026,"255,000,050,025,500,000,000,000,000,000",일반국도,2.378,동해대로,강원도  속초시,98.0,99.0,53.0
1,1057026,"2550000500,2550000700,2550000900",일반국도,2.378,동해대로,강원도  속초시,98.0,99.0,48.0
2,1057027,"255,000,060,025,500,000,000,000,000,000",일반국도,2.378,동해대로,강원도  속초시,98.0,99.0,39.0
3,1057027,"2550000600,2550000800,2550001000",일반국도,2.378,동해대로,강원도  속초시,97.0,98.0,37.0
4,1057028,"255,000,720,025,500,000,000,000,000,000",일반국도,0.679,동해대로,강원도  속초시,100.0,100.0,61.0
5,1057028,"2550007200,2550007400,2550007600",일반국도,0.679,동해대로,강원도  속초시,100.0,100.0,57.0
6,1057029,"255,000,710,025,500,000,000,000,000,000",일반국도,0.679,동해대로,강원도  속초시,100.0,100.0,54.0
7,1057029,"2550007100,2550007300,2550007500",일반국도,0.679,동해대로,강원도  속초시,99.0,100.0,54.0
8,1057030,2550007500,일반국도,0.006,동해대로,강원도  속초시,99.0,100.0,52.5
9,1057031,2550007600,일반국도,0.006,동해대로,강원도  속초시,99.0,99.5,49.5
10,1057032,0,시군도,0.049,청학로,강원도  속초시,91.0,99.0,74.5
11,1057033,0,시군도,0.604,번영로,강원도  속초시,27.5,52.5,64.5
12,1057034,0,시군도,0.82,중앙로,강원도  속초시,53.0,75.5,55.0
13,1057035,0,시군도,0.343,중앙로,강원도  속초시,58.5,76.5,57.5
14,1057036,0,시군도,0.368,중앙로,강원도  속초시,38.0,67.5,71.5
15,1057037,"25,500,053,002,550,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,0.421,동해대로,강원도  속초시,100.0,100.0,59.0
16,1057037,"2550005300,2550005500,2550005800,2550005900,2550006300",일반국도,0.421,동해대로,강원도  속초시,100.0,100.0,61.0
17,1057038,"25,500,054,002,550,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,0.421,동해대로,강원도  속초시,100.0,100.0,53.0
18,1057038,"2550005400,2550005600,2550005700,2550006000,2550006400",일반국도,0.421,동해대로,강원도  속초시,100.0,100.0,51.0
19,1057039,"2,550,009,700,255,000,000,000,000,000,000,000,000,000",국가지원지방도,0.483,번영로,강원도  속초시,99.0,100.0,51.0
20,1057039,"2550009700,2550010100,2550010701,2550010702",국가지원지방도,0.483,번영로,강원도  속초시,99.0,100.0,48.0
21,1057040,"2,550,009,800,255,000,000,000,000,000,000,000,000,000",국가지원지방도,0.483,번영로,강원도  속초시,99.0,99.0,54.0
22,1057040,"2550009800,2550010200,2550010801,2550010802",국가지원지방도,0.483,번영로,강원도  속초시,99.0,99.0,51.0
23,1057041,"255,000,170,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,1.683,동해대로,강원도  속초시,99.0,100.0,52.0
24,1057041,"2550001700,2550001900,2550002300,2550002800,2550003000,2550003200,2550003600,2550003800,2550004000,2550004800,2550005000,2550005200",일반국도,1.683,동해대로,강원도  속초시,99.0,100.0,51.0
25,1057042,"255,000,180,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,1.683,동해대로,강원도  속초시,99.0,100.0,53.0
26,1057042,"2550001800,2550002000,2550002400,2550002700,2550002900,2550003100,2550003500,2550003700,2550003900,2550004700,2550004900,2550005100",일반국도,1.683,동해대로,강원도  속초시,99.0,100.0,55.0
27,1057043,2550010900,국가지원지방도,0.236,장안로,강원도  속초시,100.0,100.0,70.5
28,1057044,0,시군도,1.005,번영로,강원도  속초시,15.5,37.0,67.0
29,1057045,0,시군도,0.067,설악금강대교로,강원도  속초시,76.5,92.0,57.5
30,1057046,0,시군도,2.448,중앙로,강원도  고성군,6.0,16.5,73.5
31,1057047,0,시군도,2.448,중앙로,강원도  고성군,9.0,25.0,74.0
32,1057048,0,시군도,0.518,중앙로,강원도  속초시,21.0,49.0,74.5
33,1057050,2550008602,국가지원지방도,0.024,미시령로,강원도  속초시,89.0,93.0,37.0
34,1057051,0,국가지원지방도,0.035,동해대로,강원도  속초시,88.5,94.0,45.5
